Name,Cost,Bhk
RaghuramACSPrimeVillas,₹1.62 Cr - 2.0 Cr,"4, 4.5 BHK"
NSLLuxoria,₹5.6 Cr,"3, 4 BHK"
TSPNagadharaGrand,₹78.31 L - 1.51 Cr,"2, 3 BHK"
PhoenixHalcyon,nan,"3, 4, 5 BHK"
Elite40,₹2.48 Cr - 4.72 Cr,3 BHK
ManbhumHomeTree,₹5.4 Cr,"2, 2.5, 3 BHK"
KSRGreens,₹1.27 Cr - 2.42 Cr,3 BHK
GarnithaAkhileshTowers,₹28.5 L - 76.63 L,2 BHK
AsrithasJewelsCounty,₹1.25 Cr,"2, 3 BHK"
SMRVinayIconiaPhaseIIBlock5,nan,4 BHK
JanapriyaNileValley,₹2.33 Cr - 3.07 Cr,"2, 3 BHK"
BollineniPanache,₹66.83 L - 93.06 L,"2, 3, 4, 5 BHK"
PanchajanyaHeights,₹23.99 L - 40.46 L,3 BHK
NSLLuxoria,₹48.55 L - 52.5 L,"3, 4 BHK"
CozyEssenceElite,₹68.63 L - 94.88 L,"2, 3 BHK"
BhanodhayaCrystalLuxuryApartments,₹9.68 L - 19.36 L,"2, 3 BHK"
KesineniPioneerLifeVillas,₹1.39 Cr - 1.82 Cr,3 BHK
PhoenixLuxuryPark2,₹55.12 L - 62.14 L,4 BHK
ManbhumHomeTree,₹12.1 L - 36.4 L,"2, 2.5, 3 BHK"
PrestigeSmartCity,₹22.49 L - 59.98 L,"2.5, 3, 4 BHK"
ManbhumHomeTree,₹4.34 Cr - 4.97 Cr,"2, 2.5, 3 BHK"
AdityaFortuneHeights,₹1.74 Cr - 3.3 Cr,3 BHK
MyscapeLoft,₹10.89 L - 54.45 L,4 BHK
RamkyOneSymphony,₹7.86 L - 39.31 L,"2, 3 BHK"
RaghuramACSPrimeVillas,₹31.17 L - 1.01 Cr,"4, 4.5 BHK"
AuroTheRegentPhase2,₹67.37 L - 98.99 L,3 BHK
JanashriOakTree,₹5.66 Cr - 12.41 Cr,2 BHK
