PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
"₹30,000",2 BHK,"in Madhapur, Hyderabad",950 sq.ft,Bathrooms2,Semi
"₹28,000",2 BHK,"in Madhapur, Hyderabad",955 sq.ft,Bathrooms2,Semi
"₹36,000",2 BHK,"in Madhapur, Hyderabad",1050 sq.ft,Bathrooms2,Fully
"₹45,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms3,Semi
"₹30,000",3 BHK,"in Kondapur, Hyderabad",1600 sq.ft,Bathrooms2,Semi
"₹40,000",3 BHK,"in Kondapur, Hyderabad",2300 sq.ft,Bathrooms2,Semi
"₹47,000",3 BHK,"in Kondapur, Hyderabad",2200 sq.ft,Bathrooms2,Semi
"₹45,000",3 BHK,"in Kondapur, Hyderabad",2000 sq.ft,Bathrooms2,Fully
"₹20,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Semi
"₹32,000",3 BHK,"in Kondapur, Hyderabad",1650 sq.ft,Bathrooms2,Semi
"₹22,000",,"in Kondapur, Hyderabad",850 sq.ft,Bathrooms1,Fully
"₹33,000",3 BHK,"in Kondapur, Hyderabad",1600 sq.ft,Bathrooms1,Semi
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1700 sq.ft,Bathrooms3,Semi
"₹48,000",3 BHK,"in Kondapur, Hyderabad",1800 sq.ft,Bathrooms2,Semi
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹31,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹32,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms1,Fully
"₹22,000",1 BHK,"in Kondapur, Hyderabad",800 sq.ft,Bathrooms1,Semi
"₹32,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹35,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms1,Semi
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1750 sq.ft,Bathrooms2,Semi
"₹32,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1300 sq.ft,Bathrooms1,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1100 sq.ft,Bathrooms1,Semi
"₹31,500",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹22,000",1 BHK,"in Kondapur, Hyderabad",800 sq.ft,Bathrooms1,Fully
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹44,000",3 BHK,"in Kondapur, Hyderabad",1600 sq.ft,Bathrooms3,Fully
"₹47,000",3 BHK,"in Kondapur, Hyderabad",1900 sq.ft,Bathrooms2,Semi
"₹18,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹17,000",1 BHK,"in Kondapur, Hyderabad",850 sq.ft,Bathrooms1,Semi
"₹37,000",3 BHK,"in Kondapur, Hyderabad",1750 sq.ft,Bathrooms2,Semi
"₹34,000",3 BHK,"in Kondapur, Hyderabad",1750 sq.ft,Bathrooms2,Semi
"₹34,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹49,000",3 BHK,"in Kondapur, Hyderabad",1950 sq.ft,Bathrooms2,Fully
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1350 sq.ft,Bathrooms1,Semi
"₹29,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹40,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Fully
"₹36,000",3 BHK,"in Kondapur, Hyderabad",2000 sq.ft,Bathrooms2,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms2,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms2,Semi
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms3,Semi
"₹45,000",3 BHK,"in Kondapur, Hyderabad",1800 sq.ft,Bathrooms2,Fully
"₹36,000",2 BHK,"in Kondapur, Hyderabad",1400 sq.ft,,Fully
"₹20,500",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,,Fully
