PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
27000,1,"in Madhapur, Hyderabad",700,Bathrooms1,Fully
22000,1,"in Hafeezpet, Hyderabad",800,Bathrooms1,Semi
16000,1,"in Hafeezpet, Hyderabad",800,Bathrooms1,Un
40000,3,"in Kondapur, Hyderabad",1200,Bathrooms3,Fully
15000,1,"in Hafeezpet, Hyderabad",650,Bathrooms1,Un
25000,2,"in Hafeezpet, Hyderabad",1000,Bathrooms1,Semi
20000,1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
40000,2,"in Kondapur, Hyderabad",1100,Bathrooms1,Fully
40000,3,"in Kondapur, Hyderabad",1300,Bathrooms2,Semi
20000,1,"in Kondapur, Hyderabad",800,Bathrooms1,Semi
15006,1,"in Kondapur, Hyderabad",700,Bathrooms1,Un
18007,1,"in Kondapur, Hyderabad",700,Bathrooms1,Semi
20000,1,"in Kondapur, Hyderabad",700,Bathrooms1,Semi
31005,2,"in Kondapur, Hyderabad",1000,Bathrooms1,Semi
15000,1,"in Kondapur, Hyderabad",600,Bathrooms1,Un
24000,2,"in Kondapur, Hyderabad",1200,Bathrooms1,Semi
22000,1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
28000,3,"in Kondapur, Hyderabad",2100,Bathrooms2,Semi
35000,3,"in Kondapur, Hyderabad",1900,Bathrooms2,Semi
20000,1,"in Kondapur, Hyderabad",920,Bathrooms1,Fully
42011,3,"in Chandanagar, Hyderabad",2250,Bathrooms3,Semi
27500,1,"in Kondapur, Hyderabad",325,Bathrooms1,Fully
65011,3,"in Kokapet, Hyderabad",2169,Bathrooms3,Fully
300000,4,"in Banjara Hills, Hyderabad",5200,Bathrooms5,Semi
60000,3,"in Banjara Hills, Hyderabad",2700,Bathrooms3,Semi
120000,4,"in Banjara Hills, Hyderabad",3200,Bathrooms3,Semi
65000,3,"in Banjara Hills, Hyderabad",2600,Bathrooms3,Semi
75000,3,"in Srinagar Colony, Hyderabad",2600,Bathrooms3,Semi
25000,2,"in Narayanguda, Hyderabad",1150,Bathrooms2,Fully
20000,2,"in Nallakunta, Hyderabad",1100,Bathrooms2,Fully
11500,1,"in Zamistanpur, Hyderabad",800,Bathrooms1,Semi
55000,3,"in Kothaguda, Hyderabad",1765,Bathrooms3,Semi
33000,3,"in Kukatpally, Hyderabad",1700,Bathrooms2,Semi
27500,2,"in Kukatpally, Hyderabad",1200,Bathrooms2,Semi
18000,2,"in Uppal, Hyderabad",1850,Bathrooms2,Un
26000,1,"in Kondapur, Hyderabad",500,Bathrooms1,Fully
28012,1,"in Kondapur, Hyderabad",325,Bathrooms1,Fully
42035,3,"in Chandanagar, Hyderabad",2250,Bathrooms3,Semi
28000,2,"in Kondapur, Hyderabad",1120,Bathrooms2,Semi
12000,1,"in Kothapet, Hyderabad",500,Bathrooms2,Semi
200000,2,"in Nallagandla, Hyderabad",3300,Bathrooms1,Un
20000,3,"in Bapu nagar, Hyderabad",1200,Bathrooms2,Un
22000,3,"in Chengicherla, Hyderabad",1900,Bathrooms3,Un
50000,3,"in Habsiguda, Hyderabad",2000,Bathrooms3,Semi
40000,4,"in Kompally, Hyderabad",6000,Bathrooms4,Semi
20000,3,"in Nacharam, Hyderabad",1500,Bathrooms2,Semi
28011,1,"in Kondapur, Hyderabad",325,Bathrooms1,Fully
120000,3,"in Yousufguda, Hyderabad",3000,Bathrooms3,Fully
120000,3,"in Jubilee Hills, Hyderabad",3200,Bathrooms3,Semi
150000,4,"in Banjara Hills, Hyderabad",3500,Bathrooms4,Semi
151000,3,"in Banjara Hills, Hyderabad",3000,Bathrooms3,Semi
180000,4,"in Jubilee Hills, Hyderabad",4000,Bathrooms5,Semi
33000,3,"in Bairagiguda, Hyderabad",1650,Bathrooms2,Semi
29000,2,"in Bairagiguda, Hyderabad",1200,Bathrooms2,Semi
28000,2,"in Kukatpally, Hyderabad",1100,Bathrooms2,Un
7500,2,"in Narapally, Hyderabad",900,Bathrooms2,Semi
25000,2,"in Narayanguda, Hyderabad",1100,Bathrooms2,Semi
10000,2,"in Maheshwaram, Hyderabad",1180,Bathrooms2,Semi
15000,2,"in Nagole, Hyderabad",1000,Bathrooms2,Fully
8500,2,"in Hayathnagar, Hyderabad",1000,Bathrooms2,Un
18400,3,"in Toli Chowki, Hyderabad",2200,Bathrooms1,Fully
30000,3,"in Manikonda, Hyderabad",1500,Bathrooms1,Semi
24000,2,"in Serilingampally, Hyderabad",1150,Bathrooms2,Semi
15500,2,"in Padmarao Nagar, Hyderabad",850,Bathrooms2,Semi
85000,5,"in Habsiguda, Hyderabad",5400,Bathrooms6,Semi
60000,3,"in Kondapur, Hyderabad",2200,Bathrooms3,Fully
18000,2,"in Pragathi Nagar, Hyderabad",1050,Bathrooms2,Semi
15000,3,"in Thirumalagiri, Hyderabad",1200,Bathrooms2,Semi
13000,1,"in Himayath Nagar, Hyderabad",700,Bathrooms1,Semi
82500,3,"in Kondapur, Hyderabad",2300,Bathrooms3,Fully
8000,2,"in Siddipet, Hyderabad",800,Bathrooms2,Un
18000,1,"in Shaikpet, Hyderabad",400,Bathrooms1,Fully
21000,3,"in Kapra, Hyderabad",1350,Bathrooms2,Semi
170000,4,"in Madhapur, Hyderabad",5500,Bathrooms4,Semi
15000,2,"in Saroornagar, Hyderabad",1200,Bathrooms2,Un
38000,4,"in Banjara Hills, Hyderabad",1500,Bathrooms3,Semi
23000,1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
28000,1,"in Kondapur, Hyderabad",900,Bathrooms1,Fully
22000,1,"in Kondapur, Hyderabad",800,Bathrooms1,Fully
23000,1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
23000,1,"in Kondapur, Hyderabad",800,Bathrooms1,Fully
20000,1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
26000,1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
24000,1,"in Kondapur, Hyderabad",800,Bathrooms1,Fully
28000,2,"in Hafeezpet, Hyderabad",1200,Bathrooms2,Semi
11000,2,"in Pocharam, Secunderabad",800,Bathrooms2,Semi
20000,2,"in Alwal, Hyderabad",2500,Bathrooms2,Fully
16500,3,"in Sainikpuri, Hyderabad",1310,Bathrooms3,Semi
10000,2,"in Hayathnagar, Hyderabad",1000,Bathrooms2,Un
55000,3,"in Srinagar Colony, Hyderabad",2200,Bathrooms3,Semi
12000,2,"in Santosh Nagar, Hyderabad",1000,Bathrooms1,Un
19500,1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
34500,3,"in Gachibowli, Hyderabad",1900,Bathrooms3,Semi
22500,1,"in Kondapur, Hyderabad",720,Bathrooms1,Fully
27500,2,"in Kondapur, Hyderabad",1400,Bathrooms2,Semi
18500,1,"in Kondapur, Hyderabad",650,Bathrooms1,Semi
40000,2,"in Madhapur, Hyderabad",1250,Bathrooms2,Fully
35000,2,"in Kondapur, Hyderabad",1250,Bathrooms2,Fully
14000,1,"in Kondapur, Hyderabad",800,Bathrooms1,Un
34000,3,"in Kondapur, Hyderabad",1700,Bathrooms3,Fully
55000,3,"in Madhapur, Hyderabad",1900,Bathrooms3,Semi
50001,3,"in Madhapur, Hyderabad",1850,Bathrooms3,Semi
23000,2,"in Narayanguda, Hyderabad",1100,Bathrooms1,Semi
10000,1,in Bharat Heavy Electricals,500,Bathrooms1,Un
20000,2,"in Malkajgiri, Hyderabad",1100,Bathrooms2,Semi
55000,3,"in Begumpet, Hyderabad",1800,Bathrooms3,Fully
65000,3,"in Kokapet, Hyderabad",2169,Bathrooms3,Fully
42000,3,"in Chandanagar, Hyderabad",2250,Bathrooms3,Semi
65015,3,"in Kokapet, Hyderabad",2169,Bathrooms3,Fully
6000,1,"in Mansanpally, Hyderabad",550,Bathrooms1,Semi
10000,2,"in Mansanpally, Hyderabad",1200,Bathrooms2,Semi
15000,3,"in Mansanpally, Hyderabad",1550,Bathrooms3,Semi
12000,2,in Nagaram South Hyderabad,1150,Bathrooms2,Semi
7500,1,in Nagaram South Hyderabad,1200,Bathrooms1,Un
12000,2,in Nagaram South Hyderabad,1200,Bathrooms2,Un
10000,2,in Nagaram South Hyderabad,1500,Bathrooms2,Un
10000,2,in Nagaram South Hyderabad,1250,Bathrooms2,Semi
18000,3,"in Maheshwaram, Hyderabad",1500,Bathrooms3,Un
18000,2,"in Maheshwaram, Hyderabad",1200,Bathrooms2,Semi
6000,1,"in Maheshwaram, Hyderabad",550,Bathrooms1,Semi
8000,1,"in Maheshwaram, Hyderabad",650,Bathrooms1,Semi
12000,3,"in Maheshwaram, Hyderabad",1450,Bathrooms3,Semi
18000,3,"in Maheshwaram, Hyderabad",1800,Bathrooms3,Semi
20000,3,"in Maheshwaram, Hyderabad",1800,Bathrooms3,Semi
8000,2,"in Maheshwaram, Hyderabad",1000,Bathrooms2,Semi
10000,2,"in Maheshwaram, Hyderabad",1100,Bathrooms2,Semi
