,PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
467,"28,011",1,"in Kondapur, Hyderabad",325,Bathrooms1,Fully
468,"55,012",3,"in Puppalaguda, Hyderabad",2063,,Semi
469,"55,012",2,"in Kondapur, Hyderabad",2938,,Fully
470,"42,011",3,"in Chandanagar, Hyderabad",2250,Bathrooms3,Semi
471,"45,012",3,"in Osman Nagar, Hyderabad",2533,,Fully
472,"50,011",2,"in Khaja Guda, Hyderabad",1643,,Fully
473,"65,011",3,"in Kokapet, Hyderabad",2169,Bathrooms3,Fully
474,"55,000",2,"in Kondapur, Hyderabad",1630,,Semi
475,"50,000",2,"in Kondapur, Hyderabad",1290,,Semi
476,"3,50,012",6,"in Gachibowli, Hyderabad",7500,,Semi
477,"1,20,012",5,"in Tellapur, Hyderabad",5000,,Semi
478,"80,011",4,"in Kothaguda, Hyderabad",5000,,Fully
479,"2,50,012",5,"in Shaikpet, Hyderabad",6520,,Semi
480,"70,000",3,"in Kondapur, Hyderabad",2566,,Semi
481,"55,012",3,"in Borabanda, Hyderabad",2063,,Semi
482,"70,011",3,"in Nanakaramguda, Hyderabad",2178,,Fully
483,"45,011",2,"in Nallagandla, Hyderabad",1594,,Semi
484,"45,011",3,"in Kokapet, Hyderabad",2344,,Semi
485,"80,012",3,"in Kokapet, Hyderabad",2561,,Fully
486,"70,011",4,"in Nanakaramguda, Hyderabad",2491,,Semi
487,"50,011",3,"in Borabanda, Hyderabad",2775,,Semi
488,"65,012",3,"in Gopanapalli, Hyderabad",2456,,Fully
489,"65,012",3,"in Gopanapalli, Hyderabad",2456,,Fully
490,"70,012",2,"in Nallagandla, Hyderabad",2444,,Fully
491,"60,012",3,"in Kokapet, Hyderabad",2275,,Semi
492,"80,012",3,"in Narsingi, Hyderabad",2656,,Semi
493,"1,00,021",4,"in Manikonda, Hyderabad",4574,,Fully
494,"45,011",2,"in Nallagandla, Hyderabad",1544,,Semi
495,"2,20,011",3,"in Rai Durg, Hyderabad",4288,,Semi
496,"65,011",3,"in Nallagandla, Hyderabad",2481,,Semi
497,"80,011",3,"in Kokapet, Hyderabad",2560,,Semi
498,"1,00,012",3,"in Kondapur, Hyderabad",2988,,Semi
499,"75,011",3,"in Kondapur, Hyderabad",2438,,Semi
500,"75,012",3,"in Kokapet, Hyderabad",2794,,Semi
501,"75,012",3,"in Kokapet, Hyderabad",2794,,Semi
502,"50,021",2,"in Gopanapalli, Hyderabad",1938,,Semi
503,"1,20,000",3,"in Yousufguda, Hyderabad",3000,Bathrooms3,Fully
504,"70,000",3,"in Banjara Hills, Hyderabad",2800,,Semi
505,"1,20,000",3,"in Jubilee Hills, Hyderabad",3200,Bathrooms3,Semi
506,"1,50,000",4,"in Banjara Hills, Hyderabad",3500,Bathrooms4,Semi
507,"1,51,000",3,"in Banjara Hills, Hyderabad",3000,Bathrooms3,Semi
508,"1,80,000",4,"in Jubilee Hills, Hyderabad",4000,Bathrooms5,Semi
509,"33,000",3,"in Bairagiguda, Hyderabad",1650,Bathrooms2,Semi
510,"29,000",2,"in Bairagiguda, Hyderabad",1200,Bathrooms2,Semi
511,"28,000",2,"in Kukatpally, Hyderabad",1100,Bathrooms2,Un
512,"7,500",2,"in Narapally, Hyderabad",900,Bathrooms2,Semi
513,"25,000",2,"in Narayanguda, Hyderabad",1100,Bathrooms2,Semi
514,"10,000",2,"in Maheshwaram, Hyderabad",1180,Bathrooms2,Semi
515,"15,000",2,"in Nagole, Hyderabad",1000,Bathrooms2,Fully
516,"8,500",2,"in Hayathnagar, Hyderabad",1000,Bathrooms2,Un
517,"18,400",3,"in Toli Chowki, Hyderabad",2200,Bathrooms1,Fully
518,"30,000",3,"in Manikonda, Hyderabad",1500,Bathrooms1,Semi
519,"18,000",2,"in Nallakunta, Hyderabad",1100,,Semi
520,"24,000",2,"in Serilingampally, Hyderabad",1150,Bathrooms2,Semi
521,"15,500",2,"in Padmarao Nagar, Hyderabad",850,Bathrooms2,Semi
522,"22,000",1,"in Kondapur, Hyderabad",650,Bathrooms1,Fully
523,"85,000",5,"in Habsiguda, Hyderabad",5400,Bathrooms6,Semi
524,"67,000",3,"in Kondapur, Hyderabad",2000,,Semi
525,"60,000",3,"in Kondapur, Hyderabad",2200,Bathrooms3,Fully
526,"18,000",2,"in Pragathi Nagar, Hyderabad",1050,Bathrooms2,Semi
527,"15,000",3,"in Thirumalagiri, Hyderabad",1200,Bathrooms2,Semi
528,"13,000",1,"in Himayath Nagar, Hyderabad",700,Bathrooms1,Semi
529,"50,000",3,"in Nanakaramguda, Hyderabad",1881,,Semi
530,"82,500",3,"in Kondapur, Hyderabad",2300,Bathrooms3,Fully
531,"26,000",3,"in Bowrampet, Hyderabad",1600,,Semi
532,"1,05,000",3,"in Kondapur, Hyderabad",2440,,Fully
533,"8,000",2,"in Siddipet, Hyderabad",800,Bathrooms2,Un
534,"18,000",1,"in Shaikpet, Hyderabad",400,Bathrooms1,Fully
535,"21,000",3,"in Kapra, Hyderabad",1350,Bathrooms2,Semi
536,"1,15,000",3,"in Kondapur, Hyderabad",2440,,Semi
537,"67,000",3,"in Nanakaramguda, Hyderabad",2043,,Semi
538,"1,70,000",4,"in Madhapur, Hyderabad",5500,Bathrooms4,Semi
